名前,都道府県,出生数,死亡数,自然増減数,死産数,婚姻件数,離婚件数,出生率,死亡率,自然増減率,婚姻率,離婚率,乳児死亡率,	
Name,Prefecture,Live Births,Deaths,Natural Change,Foetal Deaths,Marriages,Divorces,Live Birth Rate,Death Rate,Natural Change Rate,Marriage Rate,Divorce Rate,Infant Mortality Rate,
全国,Japan,"1,003,539","1,273,004","-269,465","23,524","643,749","222,107",8.0,10.1,-2.1,5.1,1.77,2.1,
北海道,Hokkaido,"37,058","60,018","-22,960","1,101","26,018","11,003",6.9,11.2,-4.3,4.8,2.04,1.6,
青森,Aomori,"8,853","17,042","-8,189",250,"5,481","2,195",6.7,12.9,-6.2,4.2,1.67,1.9,
岩手,Iwate,"8,803","16,274","-7,471",213,"5,482","1,855",6.9,12.7,-5.8,4.3,1.45,1.9,
宮城,Miyagi,"18,069","22,854","-4,785",421,"11,765","3,824",7.8,9.9,-2.1,5.1,1.65,1.9,
秋田,Akita,"5,998","15,096","-9,098",165,"3,842","1,444",5.8,14.6,-8.8,3.7,1.40,2.5,
山形,Yamagata,"7,966","15,032","-7,066",173,"4,699","1,670",7.1,13.4,-6.3,4.2,1.48,2.4,
福島,Fukushima,"14,517","23,495","-8,978",344,"8,711","3,165",7.5,12.2,-4.7,4.5,1.64,1.9,
茨城,Ibaraki,"21,873","30,341","-8,468",491,"13,800","4,955",7.6,10.5,-2.9,4.8,1.72,2.7,
栃木,Tochigi,"15,442","20,755","-5,313",356,"9,770","3,322",7.9,10.6,-2.7,5.0,1.70,3.6,
群馬,Gunma,"14,522","21,441","-6,919",326,"9,089","3,312",7.5,11.0,-3.6,4.7,1.71,1.3,
埼玉,Saitama,"55,765","61,269","-5,504","1,382","35,218","12,484",7.8,8.6,-0.8,4.9,1.75,2.1,
千葉,Chiba,"46,749","53,975","-7,226","1,143","30,578","10,642",7.6,8.8,-1.2,5.0,1.74,2.2,
東京,Tokyo,"110,629","111,023",-394,"2,460","87,000","23,653",8.5,8.5,-0.0,6.7,1.81,1.9,
神奈川,Kanagawa,"72,996","74,387","-1,391","1,566","48,851","16,004",8.1,8.3,-0.2,5.4,1.78,2.0,
新潟,Niigata,"16,480","28,316","-11,836",391,"9,954","3,175",7.2,12.3,-5.1,4.3,1.38,2.0,
富山,Toyama,"7,556","12,584","-5,028",155,"4,540","1,417",7.1,11.9,-4.7,4.3,1.34,2.2,
石川,Ishikawa,"8,961","12,190","-3,229",187,"5,370","1,708",7.8,10.6,-2.8,4.7,1.49,2.3,
福井,Fukui,"6,166","8,817","-2,651",161,"3,706","1,135",7.9,11.3,-3.4,4.8,1.46,1.9,
山梨,Yamanashi,"6,063","9,755","-3,692",143,"3,723","1,401",7.3,11.8,-4.4,4.5,1.69,1.8,
長野,Nagano,"15,848","24,751","-8,903",341,"9,514","3,279",7.6,11.9,-4.3,4.6,1.57,1.5,
岐阜,Gifu,"15,138","21,658","-6,520",313,"9,071","3,182",7.5,10.8,-3.2,4.5,1.58,2.4,
静岡,Shizuoka,"28,684","38,342","-9,658",629,"18,066","6,439",7.9,10.5,-2.6,4.9,1.76,2.1,
愛知,Aichi,"65,218","62,426","2,792","1,358","41,410","12,780",8.9,8.6,0.4,5.7,1.75,2.1,
三重,Mie,"13,727","19,525","-5,798",308,"8,555","3,098",7.7,10.9,-3.2,4.8,1.73,2.0,
滋賀,Shiga,"12,729","12,266",463,224,"6,990","2,240",9.1,8.8,0.3,5.0,1.60,1.6,
京都,Kyoto,"19,583","25,507","-5,924",447,"12,671","4,462",7.6,9.9,-2.3,4.9,1.74,1.8,
大阪,Osaka,"69,968","81,653","-11,685","1,621","46,934","17,834",8.1,9.4,-1.3,5.4,2.06,2.0,
兵庫,Hyogo,"44,352","54,147","-9,795",951,"26,941","9,598",8.1,9.9,-1.8,4.9,1.76,2.1,
奈良,Nara,"9,625","13,835","-4,210",205,"6,002","2,225",7.0,10.1,-3.1,4.4,1.63,2.5,
和歌山,Wakayama,"7,140","12,609","-5,469",148,"4,419","1,914",7.4,13.0,-5.7,4.6,1.98,2.5,
鳥取,Tottori,"4,527","7,076","-2,549",109,"2,663","1,029",7.9,12.4,-4.5,4.7,1.80,3.5,
島根,Shimane,"5,359","9,369","-4,010",124,"3,022",966,7.7,13.5,-5.8,4.4,1.40,2.4,
岡山,Okayama,"15,837","21,051","-5,214",354,"9,265","3,212",8.3,11.0,-2.7,4.9,1.68,1.6,
広島,Hiroshima,"23,775","29,463","-5,688",468,"14,194","4,838",8.5,10.5,-2.0,5.1,1.73,1.9,
山口,Yamaguchi,"10,197","17,910","-7,713",210,"6,163","2,269",7.3,12.8,-5.5,4.4,1.62,2.5,
徳島,Tokushima,"5,502","9,853","-4,351",129,"3,322","1,269",7.2,13.0,-5.7,4.4,1.67,3.5,
香川,Kagawa,"7,745","11,503","-3,758",169,"4,693","1,719",8.0,11.8,-3.9,4.8,1.76,1.5,
愛媛,Ehime,"10,399","17,529","-7,130",316,"6,148","2,404",7.5,12.6,-5.1,4.4,1.73,1.5,
高知,Kochi,"5,015","9,984","-4,969",149,"3,116","1,364",6.8,13.6,-6.8,4.2,1.86,2.4,
福岡,Fukuoka,"45,203","49,317","-4,114","1,155","27,359","9,981",9.0,9.8,-0.8,5.4,1.98,2.2,
佐賀,Saga,"7,159","9,732","-2,573",162,"3,928","1,324",8.6,11.7,-3.1,4.7,1.59,1.3,
長崎,Nagasaki,"11,323","17,091","-5,768",302,"6,137","2,316",8.2,12.4,-4.2,4.4,1.68,2.1,
熊本,Kumamoto,"15,558","20,461","-4,903",458,"8,714","3,105",8.7,11.5,-2.7,4.9,1.74,1.6,
大分,Oita,"9,279","14,065","-4,786",257,"5,391","2,004",8.0,12.1,-4.1,4.6,1.72,2.3,
宮崎,Miyazaki,"9,509","13,110","-3,601",294,"5,154","2,296",8.6,11.8,-3.2,4.6,2.07,2.5,
鹿児島,Kagoshima,"14,236","21,413","-7,177",391,"7,837","3,025",8.6,12.9,-4.3,4.7,1.82,2.7,
沖縄,Okinawa,"16,373","11,361","5,012",494,"8,473","3,571",11.6,8.1,3.6,6.0,2.53,2.9,
,,,,,,,,,,,,,,,,
"1)　出生1,000につき。",,,,,,,,,"1)  Per 1,000 live births.    ",,,,,,
資料　厚生労働省「人口動態統計」,,,,,,,,,"Source:  Ministry of Health, Labour and Welfare.",,,,,,
　,,,,,,,,,,,,,,,
2-16　都道府県別出生，死亡，死産，婚姻及び離婚数（平成26年）,,,,,,,,,"2-16  Live Births, Deaths, Foetal Deaths, Marriages and Divorces by Prefecture (2014)",,,,,,
,,,,,,,,,,,,,,,,
　「人口動態調査」による。日本において発生した日本人に関するもの。,,,,,,,,,  Data are based on the Vital Statistics. Occurred in Japan in regard to Japanese.,,,,,,
